hex_id,geometry
881e30d235fffff,"POLYGON ((13.35526700262559 49.73813801235785, 13.35314178542609 49.73373016990066, 13.35823887767883 49.73062065131164, 13.36546136009898 49.73191880553982, 13.36758736995648 49.73632662222018, 13.36249010479907 49.73943631047003, 13.35526700262559 49.73813801235785))"
881e30d25dfffff,"POLYGON ((13.34975114801039 49.78141546665099, 13.34762503666717 49.77700998817146, 13.35272531758012 49.7739029677485, 13.35995188320399 49.77520125606645, 13.36207878822935 49.77960670863298, 13.356978334012 49.78271389881544, 13.34975114801039 49.78141546665099))"
881e30d2dbfffff,"POLYGON ((13.4577336581614 49.77260272048641, 13.45560039250027 49.76819786985158, 13.46069738844836 49.76508505297762, 13.46792781961111 49.76637691663916, 13.4700618773012 49.77078174019265, 13.46496471186343 49.77389472718674, 13.4577336581614 49.77260272048641))"
881e30d283fffff,"POLYGON ((13.44493820930124 49.74616958294134, 13.44280660134825 49.74176311913627, 13.44790205061154 49.73864957640115, 13.45512927770431 49.73994232748954, 13.45726167728084 49.74434876447677, 13.45216605820471 49.74746247721428, 13.44493820930124 49.74616958294134))"
881e30d215fffff,"POLYGON ((13.37099586622761 49.75706440885393, 13.36886901235263 49.75265778686549, 13.37396705318396 49.74954846230206, 13.38119212039997 49.750845589979, 13.38331976713651 49.75525218592792, 13.37822155385888 49.75836168026028, 13.37099586622761 49.75706440885393))"
881e30d241fffff,"POLYGON ((13.32807228655854 49.77751754047537, 13.32594777958431 49.77311162068472, 13.33104831619641 49.77000547345627, 13.33827353388837 49.77130507636866, 13.34039883475019 49.77571097050706, 13.33529812409567 49.7788172874062, 13.32807228655854 49.77751754047537))"
881e346d3dfffff,"POLYGON ((13.41778055402595 49.78557177583083, 13.41564964775735 49.78116723475422, 13.42074854782475 49.77805706085533, 13.4279785251719 49.77935125803971, 13.43011022429597 49.78375577242271, 13.42501115328105 49.7868661163358, 13.41778055402595 49.78557177583083))"
881e30d053fffff,"POLYGON ((13.39519610660482 49.72518015401727, 13.3930685295325 49.72077199982584, 13.3981637278855 49.71765983935888, 13.40538667482451 49.7189556633357, 13.40751504373349 49.72336379136186, 13.40241967393021 49.72647612159729, 13.39519610660482 49.72518015401727))"
881e346d23fffff,"POLYGON ((13.40842003054307 49.77987230756585, 13.40628993506904 49.77546734990185, 13.41138866388873 49.77235734596822, 13.41861765949371 49.77365212975417, 13.42074854782475 49.77805706085533, 13.41564964775735 49.78116723475422, 13.40842003054307 49.77987230756585))"
881e30d01bfffff,"POLYGON ((13.4104814418377 49.71584280012285, 13.40835309066416 49.7114342827126, 13.41344725499863 49.70832088660234, 13.42066994144295 49.70961583812556, 13.42279908404258 49.71402432924167, 13.41770474883521 49.71713789514951, 13.4104814418377 49.71584280012285))"
881e346dedfffff,"POLYGON ((13.45180444154665 49.78763528603924, 13.44967113882532 49.78323121553079, 13.45476934258002 49.78011946489034, 13.46200101888748 49.78141161463856, 13.46413511404807 49.78581565806343, 13.45903674052576 49.78892757884449, 13.45180444154665 49.78763528603924))"
881e30d299fffff,"POLYGON ((13.46366053359832 49.75756646251429, 13.46152730518006 49.75316083203549, 13.46662309376874 49.75004694924692, 13.4738522800516 49.75133852685822, 13.4759863000888 49.75574413025785, 13.47089034228801 49.75885818314617, 13.46366053359832 49.75756646251429))"
881e30d041fffff,"POLYGON ((13.34889217736402 49.72491368041693, 13.34676778640604 49.72050503348321, 13.35186410291732 49.71739515115992, 13.35908498351345 49.7186937461892, 13.36121016692516 49.72310236747789, 13.35611367735018 49.72621241940318, 13.34889217736402 49.72491368041693))"
881e30d28bfffff,"POLYGON ((13.44197378297055 49.75368866680095, 13.4398421566919 49.74928259273887, 13.44493820930124 49.74616958294134, 13.45216605820471 49.74746247721428, 13.45429847631181 49.75186852445749, 13.44920225375072 49.75498170426746, 13.44197378297055 49.75368866680095))"
881e30d207fffff,"POLYGON ((13.34932149446937 49.75316996548504, 13.34719624366645 49.74876290214313, 13.35229454160823 49.74565445046584, 13.35951826360015 49.74695289247085, 13.36164430747063 49.75135993003391, 13.35654583634487 49.75446855139169, 13.34932149446937 49.75316996548504))"
881e30d23dfffff,"POLYGON ((13.35229454160823 49.74565445046584, 13.35016930758394 49.74124699753084, 13.35526700262559 49.73813801235785, 13.36249010479907 49.73943631047003, 13.36461613168611 49.74384373762717, 13.35951826360015 49.74695289247085, 13.35229454160823 49.74565445046584))"
881e30d2e9fffff,"POLYGON ((13.39564359873966 49.75343853048271, 13.39351515934737 49.74903196070312, 13.39861233818915 49.74592122987943, 13.40583812805535 49.7472168990091, 13.40796735989735 49.75162344248965, 13.40287000948692 49.75473434316044, 13.39564359873966 49.75343853048271))"
881e30d253fffff,"POLYGON ((13.3744063610674 49.77779651758503, 13.37227866256552 49.77339109106127, 13.37737808259266 49.77028266374055, 13.38460537361124 49.7715794931264, 13.38673386538381 49.77598489347761, 13.38163427293057 49.77909349063635, 13.3744063610674 49.77779651758503))"
881e30d29dfffff,"POLYGON ((13.45429847631181 49.75186852445749, 13.45216605820471 49.74746247721428, 13.45726167728084 49.74434876447677, 13.46448988404036 49.74564092895223, 13.46662309376874 49.75004694924692, 13.46152730518006 49.75316083203549, 13.45429847631181 49.75186852445749))"
881e30d2d5fffff,"POLYGON ((13.43900877146213 49.7612068278293, 13.43687712690346 49.75680114358099, 13.44197378297055 49.75368866680095, 13.44920225375072 49.75498170426746, 13.45133469034274 49.75938736169583, 13.44623786418493 49.76250000849844, 13.43900877146213 49.7612068278293))"
881e346d3bfffff,"POLYGON ((13.43947369331744 49.78945348021651, 13.43734118324274 49.78504938275405, 13.44243982086108 49.78193833545174, 13.44967113882532 49.78323121553079, 13.45180444154665 49.78763528603924, 13.4467056337209 49.79074650344351, 13.43947369331744 49.78945348021651))"
881e346d25fffff,"POLYGON ((13.38673386538381 49.77598489347761, 13.38460537361124 49.7715794931264, 13.3897043624944 49.76847036243209, 13.39693201520057 49.7697664622327, 13.39906130003783 49.77417183628159, 13.39396213916775 49.77728113685306, 13.38673386538381 49.77598489347761))"
881e30d2c7fffff,"POLYGON ((13.4173241731947 49.75732465299517, 13.41519413119329 49.7529185256843, 13.42029104946994 49.74980692192032, 13.42751818064152 49.75110127555307, 13.42964901488489 49.75550737630436, 13.42455192577832 49.75861915000332, 13.4173241731947 49.75732465299517))"
881e30d205fffff,"POLYGON ((13.33699861531969 49.75497856868515, 13.3348741577895 49.75057147969422, 13.33997288511999 49.74746373123331, 13.34719624366645 49.74876290214313, 13.34932149446937 49.75316996548504, 13.34422259351631 49.75627788358705, 13.33699861531969 49.75497856868515))"
881e346d2dfffff,"POLYGON ((13.38376278207125 49.78349850103687, 13.38163427293057 49.77909349063635, 13.38673386538381 49.77598489347761, 13.39396213916775 49.77728113685306, 13.39609144157821 49.78168612095016, 13.39099167699849 49.78479488799612, 13.38376278207125 49.78349850103687))"
881e30d295fffff,"POLYGON ((13.45726167728084 49.74434876447677, 13.45512927770431 49.73994232748954, 13.46022429340714 49.73682808190443, 13.46745187812405 49.73812010328638, 13.46958506911701 49.74252651332614, 13.46448988404036 49.74564092895223, 13.45726167728084 49.74434876447677))"
881e30d2a5fffff,"POLYGON ((13.40751504373349 49.72336379136186, 13.40538667482451 49.7189556633357, 13.4104814418377 49.71584280012285, 13.41770474883521 49.71713789514951, 13.41983390937488 49.7215459968806, 13.41473897134978 49.72465902990089, 13.40751504373349 49.72336379136186))"
881e30d227fffff,"POLYGON ((13.33360038849572 49.73424049090409, 13.33147677368878 49.7298322078336, 13.33657412174593 49.72672356185437, 13.34379525831464 49.72802302939423, 13.34591966598486 49.73243128694864, 13.34082214428623 49.73554010250017, 13.33360038849572 49.73424049090409))"
881e30d251fffff,"POLYGON ((13.36207878822935 49.77960670863298, 13.35995188320399 49.77520125606645, 13.36505173390777 49.77209353216955, 13.37227866256552 49.77339109106127, 13.3744063610674 49.77779651758503, 13.36930633749836 49.78090441128069, 13.36207878822935 49.77960670863298))"
881e30d057fffff,"POLYGON ((13.38584594332401 49.71947544697777, 13.38371917562029 49.71506687736866, 13.38881420222397 49.71195488662132, 13.39603616834401 49.7132512957843, 13.3981637278855 49.71765983935888, 13.3930685295325 49.72077199982584, 13.38584594332401 49.71947544697777))"
881e30d2cdfffff,"POLYGON ((13.40203057247257 49.76665662821521, 13.39990130525447 49.76225086428509, 13.40499925903992 49.75914049690113, 13.41222665151531 49.76043572356203, 13.41435671138678 49.76484146106125, 13.40925858619305 49.76795199835131, 13.40203057247257 49.76665662821521))"
881e30d219fffff,"POLYGON ((13.37737808259266 49.77028266374055, 13.37525040129989 49.76587684733777, 13.38034921789654 49.76276788647147, 13.38757588813595 49.76406457220078, 13.3897043624944 49.76847036243209, 13.38460537361124 49.7715794931264, 13.37737808259266 49.77028266374055))"
881e346d21fffff,"POLYGON ((13.39609144157821 49.78168612095016, 13.39396213916775 49.77728113685306, 13.39906130003783 49.77417183628159, 13.40628993506904 49.77546734990185, 13.40842003054307 49.77987230756585, 13.40332069798585 49.78298177806356, 13.39609144157821 49.78168612095016))"
881e30d2adfffff,"POLYGON ((13.40454806052879 49.73088386016825, 13.40241967393021 49.72647612159729, 13.40751504373349 49.72336379136186, 13.41473897134978 49.72465902990089, 13.41686814978373 49.72906674217585, 13.41177260882949 49.7321792422286, 13.40454806052879 49.73088386016825))"
881e30d051fffff,"POLYGON ((13.38287709912722 49.72699508487498, 13.38075031409732 49.72258690464804, 13.38584594332401 49.71947544697777, 13.3930685295325 49.72077199982584, 13.39519610660482 49.72518015401727, 13.39010030548955 49.72829178141698, 13.38287709912722 49.72699508487498))"
881e30d2c1fffff,"POLYGON ((13.41435671138678 49.76484146106125, 13.41222665151531 49.76043572356203, 13.4173241731947 49.75732465299517, 13.42455192577832 49.75861915000332, 13.42668277809674 49.76302486094193, 13.4215850854482 49.76613610145381, 13.41435671138678 49.76484146106125))"
881e30d059fffff,"POLYGON ((13.37990766947646 49.73451380016196, 13.37778086716633 49.73010600938826, 13.38287709912722 49.72699508487498, 13.39010030548955 49.72829178141698, 13.39222790004683 49.73269954615421, 13.38713149605798 49.73581064040675, 13.37990766947646 49.73451380016196))"
881e30d22bfffff,"POLYGON ((13.33997288511999 49.74746373123331, 13.3378484441636 49.74305625265035, 13.34294656862263 49.73994797060434, 13.35016930758394 49.74124699753084, 13.35229454160823 49.74565445046584, 13.34719624366645 49.74876290214313, 13.33997288511999 49.74746373123331))"
881e30d247fffff,"POLYGON ((13.33104831619641 49.77000547345627, 13.32892382565724 49.76559916386157, 13.33402375906428 49.76249248280953, 13.34124835697609 49.76379194171229, 13.3433736411978 49.76819822565584, 13.33827353388837 49.77130507636866, 13.33104831619641 49.77000547345627))"
881e30d203fffff,"POLYGON ((13.35867189715275 49.75887519928988, 13.35654583634487 49.75446855139169, 13.36164430747063 49.75135993003391, 13.36886901235263 49.75265778686549, 13.37099586622761 49.75706440885393, 13.36589722221682 49.7601731999414, 13.35867189715275 49.75887519928988))"
881e30d05bfffff,"POLYGON ((13.39222790004683 49.73269954615421, 13.39010030548955 49.72829178141698, 13.39519610660482 49.72518015401727, 13.40241967393021 49.72647612159729, 13.40454806052879 49.73088386016825, 13.39945208782409 49.73399565734629, 13.39222790004683 49.73269954615421))"
881e30d2d1fffff,"POLYGON ((13.44837031921621 49.76690527604122, 13.44623786418493 49.76250000849844, 13.45133469034274 49.75938736169583, 13.45856414138583 49.76067981238546, 13.46069738844836 49.76508505297762, 13.45560039250027 49.76819786985158, 13.44837031921621 49.76690527604122))"
881e30d285fffff,"POLYGON ((13.42325734036986 49.74228826798721, 13.42112733424602 49.73788136126539, 13.42622304605175 49.73476869134651, 13.43344893459667 49.73606275825536, 13.43557973255269 49.74046963841972, 13.43048385019518 49.74358247825351, 13.42325734036986 49.74228826798721))"
881e30d20bfffff,"POLYGON ((13.35569890057507 49.76638954524478, 13.35357282287591 49.76198328708222, 13.35867189715275 49.75887519928988, 13.36589722221682 49.7601731999414, 13.36802409318802 49.76457943219319, 13.36292484588644 49.7676876897251, 13.35569890057507 49.76638954524478))"
881e30d217fffff,"POLYGON ((13.38331976713651 49.75525218592792, 13.38119212039997 49.750845589979, 13.38628973046996 49.74773556226021, 13.39351515934737 49.74903196070312, 13.39564359873966 49.75343853048271, 13.39054581666218 49.75654872800958, 13.38331976713651 49.75525218592792))"
881e30d0c5fffff,"POLYGON ((13.42576367394397 49.70650173941027, 13.42363454933011 49.70209285898032, 13.42872767923615 49.69897822753774, 13.43595010411526 49.70027230671935, 13.43808001974448 49.70468116072635, 13.43298671954268 49.7077959619955, 13.42576367394397 49.70650173941027))"
881e346d31fffff,"POLYGON ((13.43011022429597 49.78375577242271, 13.4279785251719 49.77935125803971, 13.4330769922823 49.77624038079044, 13.44030732908843 49.77753384789199, 13.44243982086108 49.78193833545174, 13.43734118324274 49.78504938275405, 13.43011022429597 49.78375577242271))"
881e30d2a9fffff,"POLYGON ((13.41390180511194 49.73658656497634, 13.41177260882949 49.7321792422286, 13.41686814978373 49.72906674217585, 13.42409305793543 49.73036139502553, 13.42622304605175 49.73476869134651, 13.42112733424602 49.73788136126539, 13.41390180511194 49.73658656497634))"
881e30d2ddfffff,"POLYGON ((13.43604317461853 49.7687240658759, 13.43391151182561 49.76431877151209, 13.43900877146213 49.7612068278293, 13.44623786418493 49.76250000849844, 13.44837031921621 49.76690527604122, 13.44327288935001 49.77001738975674, 13.43604317461853 49.7687240658759))"
881e30d2e3fffff,"POLYGON ((13.41093487520225 49.74410546513118, 13.40880566111707 49.7396985319816, 13.41390180511194 49.73658656497634, 13.42112733424602 49.73788136126539, 13.42325734036986 49.74228826798721, 13.41816102538441 49.74540040486857, 13.41093487520225 49.74410546513118))"
881e30d243fffff,"POLYGON ((13.34039883475019 49.77571097050706, 13.33827353388837 49.77130507636866, 13.3433736411978 49.76819822565584, 13.35059922303584 49.76949709939214, 13.35272531758012 49.7739029677485, 13.34762503666717 49.77700998817146, 13.34039883475019 49.77571097050706))"
881e30d20dfffff,"POLYGON ((13.33402375906428 49.76249248280953, 13.33189928500649 49.75808578348136, 13.33699861531969 49.75497856868515, 13.34422259351631 49.75627788358705, 13.34634786105171 49.76068455726514, 13.34124835697609 49.76379194171229, 13.33402375906428 49.76249248280953))"
881e30d2d3fffff,"POLYGON ((13.46069738844836 49.76508505297762, 13.45856414138583 49.76067981238546, 13.46366053359832 49.75756646251429, 13.47089034228801 49.75885818314617, 13.47302438117446 49.76326339665808, 13.46792781961111 49.76637691663916, 13.46069738844836 49.76508505297762))"
